ClusterAlgorithm;DistanceFunction;Used Fields;Tfidf;StopWords;Interpreted;Lemmatized;Source;Synonyms;GermaNetFunction;F1WeightedAvg;F1WeightedStd;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
KMeans1520;HammingDistance;1;false;false;true;false;false;false;null;0.44870000000000004;0.0023;0.2472;0.0723;0.0112;0.0302;0.0606;0.0146;4557.63
ClusterART;Not needed;1;true;false;false;true;false;true;OneAncestor;0.46640000000000004;0.0;10.073500000000001;0.0;13.648100000000001;0.0;0.0852;0.0;7838.31
KMeans1520;HammingDistance;1;false;false;true;false;true;false;null;0.44880000000000003;0.0025;0.25170000000000003;0.0743;0.0176;0.0443;0.0599;0.014400000000000001;2683.38
ClusterART;Not needed;1;true;false;false;true;false;true;Shotgun;0.4035;0.0;25.035;0.0;37.8168;0.0;-0.0347;0.0;19511.88
KMeans1520;HammingDistance;1;false;false;true;true;false;false;null;0.4484;0.0025;0.2544;0.08600000000000001;0.0244;0.0403;0.0551;0.0189;3844.6
ClusterART;Not needed;1;true;false;false;true;true;false;null;0.5025000000000001;0.0;29.852800000000002;0.0;36.1679;0.0;-0.0748;0.0;26354.68
KMeans1520;HammingDistance;1;false;false;true;true;false;false;OneAncestor;0.44880000000000003;0.0017000000000000001;0.2503;0.0806;0.0155;0.0262;0.057;0.0166;2145.76
ClusterART;Not needed;1;true;false;false;true;true;false;OneAncestor;0.5073;0.0;26.9996;0.0;32.513400000000004;0.0;-0.0082;0.0;19511.2
KMeans1520;HammingDistance;1;false;false;true;true;false;false;Shotgun;0.47550000000000003;0.0238;5.2701;2.6322;1.0174;1.3374000000000001;0.0606;0.0123;9126.76
ClusterART;Not needed;1;true;false;false;true;true;false;Shotgun;0.5414;0.0;30.637500000000003;0.0;48.518;0.0;0.1017;0.0;22519.98
KMeans1520;HammingDistance;1;false;false;true;true;false;true;null;0.44870000000000004;0.0024000000000000002;0.24760000000000001;0.0834;0.016900000000000002;0.0332;0.0592;0.014100000000000001;3379.04
ClusterART;Not needed;1;true;false;false;true;true;true;null;0.5314;0.0;27.6688;0.0;35.4352;0.0;3.0000000000000003E-4;0.0;17521.37
KMeans1520;HammingDistance;1;false;false;true;true;false;true;OneAncestor;0.4489;0.0024000000000000002;0.2422;0.0675;0.0112;0.0219;0.0587;0.0166;2899.57
ClusterART;Not needed;1;true;false;false;true;true;true;OneAncestor;0.5196000000000001;0.0;27.320700000000002;0.0;35.5704;0.0;-0.0077;0.0;21468.91
KMeans1520;HammingDistance;1;false;false;true;true;false;true;Shotgun;0.46130000000000004;0.0143;3.8485;1.6849;0.4989;0.6654;0.0587;0.0108;6539.5
ClusterART;Not needed;1;true;false;false;true;true;true;Shotgun;0.5458000000000001;0.0;32.1828;0.0;55.721500000000006;0.0;0.07980000000000001;0.0;27820.05
KMeans1520;HammingDistance;1;false;false;true;true;true;false;null;0.44870000000000004;0.0026000000000000003;0.24180000000000001;0.06670000000000001;0.0221;0.035;0.055200000000000006;0.0179;4320.32
ClusterART;Not needed;1;true;false;true;false;false;false;null;0.5222;0.0;12.5053;0.0;16.6338;0.0;0.0669;0.0;12502.28
KMeans1520;HammingDistance;1;false;false;true;true;true;false;OneAncestor;0.44930000000000003;0.0029000000000000002;0.24400000000000002;0.0698;0.018000000000000002;0.0308;0.0567;0.016900000000000002;3296.03
ClusterART;Not needed;1;true;false;true;false;true;false;null;0.5189;0.0;10.1304;0.0;14.9816;0.0;0.0465;0.0;11400.29
KMeans1520;HammingDistance;1;false;false;true;true;true;false;Shotgun;0.4721;0.0239;4.8672;2.4063000000000003;0.8482000000000001;1.1780000000000002;0.0606;0.0099;6978.88
ClusterART;Not needed;1;true;false;true;true;false;false;null;0.4974;0.0;11.989500000000001;0.0;15.395800000000001;0.0;0.1222;0.0;7919.38
KMeans1520;HammingDistance;1;false;false;true;true;true;true;null;0.4489;0.0036000000000000003;0.25170000000000003;0.07980000000000001;0.018000000000000002;0.033600000000000005;0.057100000000000005;0.017;2390.04
ClusterART;Not needed;1;true;false;true;true;false;false;OneAncestor;0.516;0.0;10.5839;0.0;14.182300000000001;0.0;0.07;0.0;6362.74
KMeans1520;HammingDistance;1;false;false;true;true;true;true;OneAncestor;0.44880000000000003;0.003;0.24960000000000002;0.0726;0.0173;0.0284;0.0562;0.0175;3593.84
ClusterART;Not needed;1;true;false;true;true;false;false;Shotgun;0.4878;0.0;17.691000000000003;0.0;30.1108;0.0;0.051300000000000005;0.0;23791.82
KMeans1520;HammingDistance;1;false;false;true;true;true;true;Shotgun;0.46430000000000005;0.015000000000000001;4.0417000000000005;1.5776000000000001;0.5216000000000001;0.5898;0.0582;0.0097;7171.93
ClusterART;Not needed;1;true;false;true;true;false;true;null;0.4848;0.0;10.4632;0.0;14.8438;0.0;0.0708;0.0;7121.2
KMeans1520;HammingDistance;1;false;true;false;false;false;false;null;0.4486;0.003;0.21400000000000002;0.0684;0.0115;0.022000000000000002;0.058100000000000006;0.0164;529.63
ClusterART;Not needed;1;true;false;true;true;false;true;OneAncestor;0.4844;0.0;11.0282;0.0;14.287500000000001;0.0;0.08460000000000001;0.0;6782.1
KMeans1520;HammingDistance;1;false;true;false;false;true;false;null;0.4625;0.0261;0.6749;0.2661;0.0921;0.14550000000000002;0.068;0.029;1612.72
ClusterART;Not needed;1;true;false;true;true;false;true;Shotgun;0.40040000000000003;0.0;25.583000000000002;0.0;37.301500000000004;0.0;-0.0262;0.0;18769.95
KMeans1520;HammingDistance;1;false;true;false;true;false;false;null;0.4489;0.0055000000000000005;0.22160000000000002;0.0847;0.0164;0.0268;0.053700000000000005;0.0195;484.04
ClusterART;Not needed;1;true;false;true;true;true;false;null;0.49870000000000003;0.0;10.2218;0.0;14.8971;0.0;0.0339;0.0;8528.89
KMeans1520;HammingDistance;1;false;true;false;true;false;false;OneAncestor;0.4485;0.0028;0.2104;0.06620000000000001;0.0176;0.0285;0.0562;0.0171;547.36
ClusterART;Not needed;1;true;false;true;true;true;false;OneAncestor;0.5118;0.0;9.893600000000001;0.0;13.1189;0.0;0.0038;0.0;6125.65
KMeans1520;HammingDistance;1;false;true;false;true;false;false;Shotgun;0.46380000000000005;0.015600000000000001;3.8952;1.312;0.4289;0.5831000000000001;0.0557;0.012700000000000001;2235.83
ClusterART;Not needed;1;true;false;true;true;true;false;Shotgun;0.4919;0.0;18.3108;0.0;30.4689;0.0;-0.0509;0.0;23077.85
KMeans1520;HammingDistance;1;false;true;false;true;false;true;null;0.44870000000000004;0.0027;0.2058;0.0637;0.0179;0.029300000000000003;0.057300000000000004;0.016;580.76
ClusterART;Not needed;1;true;false;true;true;true;true;null;0.4665;0.0;9.466800000000001;0.0;14.1668;0.0;0.06720000000000001;0.0;8329.64
KMeans1520;HammingDistance;1;false;true;false;true;false;true;OneAncestor;0.44870000000000004;0.0023;0.21680000000000002;0.075;0.0256;0.037000000000000005;0.0543;0.0175;405.48
