ClusterAlgorithm;DistanceFunction;Used Fields;Tfidf;StopWords;Interpreted;Lemmatized;Source;Synonyms;GermaNetFunction;F1WeightedAvg;F1WeightedStd;CohesionAvg;CohesionStd;SeperationAvg;SeperationStd;SilhouetteAvg;SilhouetteStd;RuntimeAvg(ms)
ClusterART;Not needed;1;false;true;true;true;false;false;OneAncestor;0.25980000000000003;0.0;1.6893;0.0;2.5977;0.0;0.2172;0.0;1020.83
KMeans820;EuclideanDistance;1;true;true;true;true;true;true;OneAncestor;0.26880000000000004;0.058;6.5087;2.0161000000000002;13.756300000000001;2.1638;0.21710000000000002;0.08370000000000001;26.37
ClusterART;Not needed;1;false;true;true;true;false;false;Shotgun;0.45640000000000003;0.0;27.8658;0.0;40.9476;0.0;-0.06280000000000001;0.0;3366.74
KMeans820;EuclideanDistance;1;true;true;true;true;true;true;Shotgun;0.3537;0.025500000000000002;24.235100000000003;4.935700000000001;39.9577;8.5036;0.10500000000000001;0.0892;110.91
ClusterART;Not needed;1;false;true;true;true;false;true;null;0.2069;0.0;1.4804000000000002;0.0;2.6394;0.0;0.1882;0.0;1301.87
KMeans820;HammingDistance;1;false;false;false;false;false;false;null;0.1978;0.0015;0.5065000000000001;0.016300000000000002;0.013300000000000001;0.0455;0.11950000000000001;0.0221;117.24
ClusterART;Not needed;1;false;true;true;true;false;true;OneAncestor;0.22890000000000002;0.0;1.7569000000000001;0.0;2.5502000000000002;0.0;0.18430000000000002;0.0;1141.93
KMeans820;HammingDistance;1;false;false;false;false;true;false;null;0.1962;0.0037;1.6722000000000001;0.0258;0.2554;0.44580000000000003;0.1245;0.042100000000000005;299.44
ClusterART;Not needed;1;false;true;true;true;false;true;Shotgun;0.25880000000000003;0.0;24.9863;0.0;38.4893;0.0;-0.0488;0.0;7042.28
KMeans820;HammingDistance;1;false;false;false;true;false;false;null;0.19870000000000002;0.008;0.49760000000000004;0.054;0.0183;0.0529;0.1168;0.0267;63.48
ClusterART;Not needed;1;false;true;true;true;true;false;null;0.2069;0.0;1.4809;0.0;2.6399;0.0;0.1882;0.0;1144.38
KMeans820;HammingDistance;1;false;false;false;true;false;false;OneAncestor;0.1978;0.0015;0.5038;0.0123;0.016900000000000002;0.0485;0.11470000000000001;0.031900000000000005;118.77
ClusterART;Not needed;1;false;true;true;true;true;false;OneAncestor;0.25980000000000003;0.0;1.6893;0.0;2.5977;0.0;0.2172;0.0;783.79
KMeans820;HammingDistance;1;false;false;false;true;false;false;Shotgun;0.25880000000000003;0.0746;9.5015;2.3883;1.5999;2.4471000000000003;0.1076;0.0292;229.32
ClusterART;Not needed;1;false;true;true;true;true;false;Shotgun;0.45640000000000003;0.0;27.8658;0.0;40.9476;0.0;-0.06280000000000001;0.0;3735.47
KMeans820;HammingDistance;1;false;false;false;true;false;true;null;0.1976;0.0011;0.49210000000000004;0.010700000000000001;0.0089;0.0357;0.1207;0.020300000000000002;62.22
ClusterART;Not needed;1;false;true;true;true;true;true;null;0.2069;0.0;1.4804000000000002;0.0;2.6394;0.0;0.1882;0.0;932.66
KMeans820;HammingDistance;1;false;false;false;true;false;true;OneAncestor;0.198;0.0022;0.5002;0.016900000000000002;0.018600000000000002;0.054200000000000005;0.1153;0.0291;95.1
ClusterART;Not needed;1;false;true;true;true;true;true;OneAncestor;0.22890000000000002;0.0;1.7569000000000001;0.0;2.5502000000000002;0.0;0.18430000000000002;0.0;820.39
KMeans820;HammingDistance;1;false;false;false;true;false;true;Shotgun;0.21980000000000002;0.0327;7.452800000000001;2.2586;0.8198000000000001;1.0379;0.1047;0.032;268.24
ClusterART;Not needed;1;false;true;true;true;true;true;Shotgun;0.25880000000000003;0.0;24.9863;0.0;38.4893;0.0;-0.0488;0.0;8114.9
KMeans820;HammingDistance;1;false;false;false;true;true;false;null;0.19690000000000002;0.0028;1.6774;0.0302;0.1713;0.35960000000000003;0.11670000000000001;0.042;273.2
ClusterART;Not needed;1;true;false;false;false;false;false;null;0.28300000000000003;0.0;13.7287;0.0;15.3983;0.0;0.1076;0.0;2202.34
KMeans820;HammingDistance;1;false;false;false;true;true;false;OneAncestor;0.1967;0.003;1.7139;0.022600000000000002;0.1729;0.3775;0.1202;0.0405;354.52
ClusterART;Not needed;1;true;false;false;false;true;false;null;0.2736;0.0;42.8127;0.0;45.4868;0.0;-0.07880000000000001;0.0;14516.55
KMeans820;HammingDistance;1;false;false;false;true;true;false;Shotgun;0.19690000000000002;0.0026000000000000003;58.990500000000004;1.4256;4.2983;12.818200000000001;0.11860000000000001;0.0482;710.61
ClusterART;Not needed;1;true;false;false;true;false;false;null;0.26530000000000004;0.0;11.653500000000001;0.0;13.480400000000001;0.0;0.1131;0.0;1430.15
KMeans820;HammingDistance;1;false;false;false;true;true;true;null;0.1965;0.0033;1.7033;0.0262;0.182;0.3909;0.12250000000000001;0.0424;362.92
ClusterART;Not needed;1;true;false;false;true;false;false;OneAncestor;0.2518;0.0;11.0008;0.0;11.519;0.0;0.07780000000000001;0.0;1007.64
KMeans820;HammingDistance;1;false;false;false;true;true;true;OneAncestor;0.19690000000000002;0.0027;1.7251;0.0297;0.15280000000000002;0.3669;0.12250000000000001;0.033800000000000004;361.18
ClusterART;Not needed;1;true;false;false;true;false;false;Shotgun;0.3673;0.0;24.4998;0.0;31.9891;0.0;0.0105;0.0;6853.18
KMeans820;HammingDistance;1;false;false;false;true;true;true;Shotgun;0.1971;0.0017000000000000001;50.6766;1.0459;3.1989;11.032300000000001;0.12350000000000001;0.0239;786.75
ClusterART;Not needed;1;true;false;false;true;false;true;null;0.266;0.0;12.3454;0.0;13.3225;0.0;0.12300000000000001;0.0;1137.63
KMeans820;HammingDistance;1;false;false;true;false;false;false;null;0.1978;0.0013000000000000002;0.5043;2.0E-4;0.0181;0.0524;0.1143;0.031;613.43
ClusterART;Not needed;1;true;false;false;true;false;true;OneAncestor;0.2538;0.0;11.887500000000001;0.0;13.035300000000001;0.0;0.0879;0.0;1591.29
KMeans820;HammingDistance;1;false;false;true;false;true;false;null;0.1978;0.0013000000000000002;0.5043;2.0E-4;0.0181;0.0524;0.1143;0.031;495.97
ClusterART;Not needed;1;true;false;false;true;false;true;Shotgun;0.2732;0.0;27.5396;0.0;34.0781;0.0;-0.0443;0.0;5173.17
KMeans820;HammingDistance;1;false;false;true;true;false;false;null;0.19770000000000001;0.0012000000000000001;0.4898;2.0E-4;0.02;0.0521;0.1119;0.0341;573.02
ClusterART;Not needed;1;true;false;false;true;true;false;null;0.2736;0.0;46.1477;0.0;45.519000000000005;0.0;-0.13540000000000002;0.0;9183.49
KMeans820;HammingDistance;1;false;false;true;true;false;false;OneAncestor;0.19790000000000002;0.0018000000000000002;0.5074000000000001;0.0287;0.023200000000000002;0.0558;0.1124;0.035;428.21
ClusterART;Not needed;1;true;false;false;true;true;false;OneAncestor;0.28;0.0;36.9531;0.0;35.2382;0.0;-0.0175;0.0;5971.23
KMeans820;HammingDistance;1;false;false;true;true;false;false;Shotgun;0.256;0.07390000000000001;9.458400000000001;2.3565;1.7731000000000001;2.7974;0.1068;0.029500000000000002;1414.57
ClusterART;Not needed;1;true;false;false;true;true;false;Shotgun;0.45330000000000004;0.0;28.2101;0.0;43.185500000000005;0.0;-0.081;0.0;13429.5
KMeans820;HammingDistance;1;false;false;true;true;false;true;null;0.19770000000000001;0.0013000000000000002;0.4922;0.010700000000000001;0.0117;0.0408;0.1184;0.0256;508.68
ClusterART;Not needed;1;true;false;false;true;true;true;null;0.313;0.0;41.7667;0.0;42.4891;0.0;0.0021000000000000003;0.0;8026.66
KMeans820;HammingDistance;1;false;false;true;true;false;true;OneAncestor;0.19770000000000001;0.0014;0.4995;0.008700000000000001;0.015300000000000001;0.046200000000000005;0.1158;0.0302;313.79
ClusterART;Not needed;1;true;false;false;true;true;true;OneAncestor;0.41490000000000005;0.0;38.661300000000004;0.0;36.6013;0.0;-0.0284;0.0;7810.72
KMeans820;HammingDistance;1;false;false;true;true;false;true;Shotgun;0.21980000000000002;0.0327;7.5106;2.2773000000000003;0.7878000000000001;1.0396;0.10740000000000001;0.0292;1363.62
ClusterART;Not needed;1;true;false;false;true;true;true;Shotgun;0.4405;0.0;29.0443;0.0;41.300000000000004;0.0;-0.1019;0.0;11904.98
KMeans820;HammingDistance;1;false;false;true;true;true;false;null;0.19770000000000001;0.0012000000000000001;0.4898;2.0E-4;0.02;0.0521;0.1119;0.0341;381.59
ClusterART;Not needed;1;true;false;true;false;false;false;null;0.28750000000000003;0.0;13.5821;0.0;15.209900000000001;0.0;0.11130000000000001;0.0;2116.91
KMeans820;HammingDistance;1;false;false;true;true;true;false;OneAncestor;0.198;0.002;0.5087;0.031;0.0251;0.058;0.1126;0.0351;276.71
ClusterART;Not needed;1;true;false;true;false;true;false;null;0.28750000000000003;0.0;13.5821;0.0;15.209900000000001;0.0;0.11130000000000001;0.0;2451.52
KMeans820;HammingDistance;1;false;false;true;true;true;false;Shotgun;0.256;0.07390000000000001;9.458400000000001;2.3565;1.7731000000000001;2.7974;0.1068;0.029500000000000002;1123.46
ClusterART;Not needed;1;true;false;true;true;false;false;null;0.2625;0.0;11.4216;0.0;13.124;0.0;0.1178;0.0;1302.6
KMeans820;HammingDistance;1;false;false;true;true;true;true;null;0.1976;0.0012000000000000001;0.4922;0.010700000000000001;0.010400000000000001;0.038900000000000004;0.11960000000000001;0.0233;663.9
ClusterART;Not needed;1;true;false;true;true;false;false;OneAncestor;0.2518;0.0;10.9771;0.0;11.4967;0.0;0.0786;0.0;879.41
KMeans820;HammingDistance;1;false;false;true;true;true;true;OneAncestor;0.19770000000000001;0.0014;0.4995;0.008700000000000001;0.015300000000000001;0.046200000000000005;0.1158;0.0302;546.99
ClusterART;Not needed;1;true;false;true;true;false;false;Shotgun;0.3673;0.0;24.4206;0.0;31.8855;0.0;0.0111;0.0;6117.43
KMeans820;HammingDistance;1;false;false;true;true;true;true;Shotgun;0.21980000000000002;0.0327;7.5106;2.2773000000000003;0.7878000000000001;1.0396;0.10740000000000001;0.0292;1470.36
ClusterART;Not needed;1;true;false;true;true;false;true;null;0.268;0.0;11.8779;0.0;13.269300000000001;0.0;0.1198;0.0;1113.15
